시군구,단지명,계약월,전용면적(㎡),거래금액_만원,거래금액_억원,면적구간
서울특별시 강남구 도곡동,도곡렉슬,2024-09-01,119.8906,357000,35.7,85-120㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,41.3882,105774,10.5774,40-60㎡
서울특별시 강남구 삼성동,진흥아파트,2024-09-01,207.82,458000,45.8,120㎡ 초과
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,41.3882,108018,10.8018,40-60㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,59.9957,171666,17.1666,40-60㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,41.3882,104244,10.4244,40-60㎡
서울특별시 강남구 개포동,개포주공7단지,2024-09-01,60.76,250000,25.0,60-85㎡
서울특별시 강남구 개포동,개포주공5단지,2024-09-01,53.98,223000,22.3,40-60㎡
서울특별시 강남구 개포동,성원대치2단지아파트,2024-09-01,33.18,104000,10.4,40㎡ 이하
서울특별시 강남구 자곡동,래미안포레,2024-09-01,101.51,180000,18.0,85-120㎡
서울특별시 강남구 자곡동,강남자곡아이파크,2024-09-01,84.92,172000,17.2,60-85㎡
서울특별시 강남구 자곡동,강남자곡 힐스테이트,2024-09-01,74.8,116000,11.6,60-85㎡
서울특별시 강남구 자곡동,강남자곡아이파크,2024-09-01,84.92,172000,17.2,60-85㎡
서울특별시 강남구 수서동,까치마을,2024-09-01,34.44,87000,8.7,40㎡ 이하
서울특별시 강남구 논현동,아크로힐스논현,2024-09-01,113.231,288000,28.8,85-120㎡
서울특별시 강남구 논현동,동부센트레빌,2024-09-01,114.498,168000,16.8,85-120㎡
서울특별시 강남구 논현동,아크로힐스논현,2024-09-01,113.231,288000,28.8,85-120㎡
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",2024-09-01,148.8,394000,39.4,120㎡ 초과
서울특별시 강남구 대치동,은마,2024-09-01,84.43,288000,28.8,60-85㎡
서울특별시 강남구 대치동,대치동우정에쉐르1,2024-09-01,59.75,79200,7.92,40-60㎡
서울특별시 강남구 개포동,개포래미안포레스트,2024-09-01,96.93,323000,32.3,85-120㎡
서울특별시 강남구 개포동,뉴현대파크빌,2024-09-01,69.86,74000,7.4,60-85㎡
서울특별시 강남구 도곡동,타워팰리스3,2024-09-01,141.648,352000,35.2,120㎡ 초과
서울특별시 강남구 개포동,성원대치2단지아파트,2024-09-01,49.86,153000,15.3,40-60㎡
서울특별시 강남구 압구정동,한양1차(영동한양),2024-09-01,78.05,400000,40.0,60-85㎡
서울특별시 강남구 수서동,신동아,2024-09-01,49.96,137000,13.7,40-60㎡
서울특별시 강남구 역삼동,래미안그레이튼,2024-09-01,59.97,232000,23.2,40-60㎡
서울특별시 강남구 대치동,"대치우성아파트1동,2동,3동,5동,6동,7동",2024-09-01,84.69,270000,27.0,60-85㎡
서울특별시 강남구 청담동,삼성청담공원아파트,2024-09-01,84.96,200000,20.0,60-85㎡
서울특별시 강남구 일원동,디에이치자이개포,2024-09-01,132.92,442000,44.2,120㎡ 초과
서울특별시 강남구 청담동,삼성청담공원아파트,2024-09-01,107.22,230000,23.0,85-120㎡
서울특별시 강남구 청담동,청담아이파크,2024-09-01,110.11,278000,27.8,85-120㎡
서울특별시 강남구 대치동,래미안대치팰리스,2024-09-01,151.31,525000,52.5,120㎡ 초과
서울특별시 강남구 도곡동,도곡우성아파트,2024-09-01,84.83,196000,19.6,60-85㎡
서울특별시 강남구 역삼동,래미안그레이튼(진달래2차),2024-09-01,121.54,340000,34.0,120㎡ 초과
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",2024-09-01,83.56,258000,25.8,60-85㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,40.9659,103938,10.3938,40-60㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,35.1099,91596,9.1596,40㎡ 이하
서울특별시 강남구 압구정동,"현대10차(201,202동)",2024-09-01,108.15,447000,44.7,85-120㎡
서울특별시 강남구 청담동,현대아파트,2024-09-01,84.78,178000,17.8,60-85㎡
서울특별시 강남구 청담동,현대아파트,2024-09-01,84.78,178000,17.8,60-85㎡
서울특별시 강남구 대치동,현대1,2024-09-01,84.27,195500,19.55,60-85㎡
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",2024-09-01,83.56,258000,25.8,60-85㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-09-01,84.9984,330000,33.0,60-85㎡
서울특별시 강남구 일원동,수서,2024-09-01,50.82,109500,10.95,40-60㎡
서울특별시 강남구 대치동,대치현대,2024-09-01,59.82,183000,18.3,40-60㎡
서울특별시 강남구 청담동,삼환(101동),2024-09-01,84.97,165000,16.5,60-85㎡
서울특별시 강남구 수서동,까치마을,2024-09-01,39.6,96500,9.65,40㎡ 이하
서울특별시 강남구 개포동,개포래미안포레스트,2024-09-01,59.92,230000,23.0,40-60㎡
서울특별시 강남구 대치동,래미안대치하이스턴,2024-09-01,110.39,300000,30.0,85-120㎡
서울특별시 강남구 삼성동,석탑아파트101동,2024-09-01,84.6,203000,20.3,60-85㎡
서울특별시 강남구 개포동,개포래미안포레스트,2024-09-01,74.66,260000,26.0,60-85㎡
서울특별시 강남구 수서동,까치마을,2024-09-01,34.44,88000,8.8,40㎡ 이하
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,41.3882,106590,10.659,40-60㎡
서울특별시 강남구 역삼동,개나리래미안,2024-09-01,84.94,262000,26.2,60-85㎡
서울특별시 강남구 역삼동,역삼래미안,2024-09-01,59.73,223500,22.35,40-60㎡
서울특별시 강남구 압구정동,"현대2차(10,11,20,23,24,25동)",2024-09-01,161.19,615000,61.5,120㎡ 초과
서울특별시 강남구 압구정동,"현대10차(201,202동)",2024-09-01,108.15,427000,42.7,85-120㎡
서울특별시 강남구 도곡동,삼성,2024-09-01,54.81,170000,17.0,40-60㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-09-01,84.9984,339000,33.9,60-85㎡
서울특별시 강남구 수서동,까치마을,2024-09-01,39.6,98800,9.88,40㎡ 이하
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,41.3882,105774,10.5774,40-60㎡
서울특별시 강남구 청담동,삼성청담아파트,2024-09-01,84.98,195500,19.55,60-85㎡
서울특별시 강남구 역삼동,역삼래미안,2024-09-01,59.4,180000,18.0,40-60㎡
서울특별시 강남구 청담동,청담자이,2024-09-01,89.115,366000,36.6,85-120㎡
서울특별시 강남구 수서동,동익,2024-09-01,84.46,161000,16.1,60-85㎡
서울특별시 강남구 수서동,삼익,2024-09-01,49.2,125000,12.5,40-60㎡
서울특별시 강남구 압구정동,"현대14차(203,204,205,206동)",2024-09-01,84.98,440000,44.0,60-85㎡
서울특별시 강남구 대치동,한보미도맨션1,2024-09-01,128.01,400000,40.0,120㎡ 초과
서울특별시 강남구 대치동,대치SKVIEW,2024-09-01,93.4,380000,38.0,85-120㎡
서울특별시 강남구 도곡동,삼성래미안,2024-09-01,59.96,209000,20.9,40-60㎡
서울특별시 강남구 압구정동,미성2차,2024-09-01,118.63,420000,42.0,85-120㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-09-01,59.9818,249000,24.9,40-60㎡
서울특별시 강남구 대치동,은마,2024-09-01,76.79,255000,25.5,60-85㎡
서울특별시 강남구 대치동,은마,2024-09-01,76.79,258000,25.8,60-85㎡
서울특별시 강남구 대치동,한보미도맨션2,2024-09-01,190.47,518000,51.8,120㎡ 초과
서울특별시 강남구 개포동,개포주공5단지,2024-09-01,53.98,232000,23.2,40-60㎡
서울특별시 강남구 청담동,대우로얄카운티2,2024-09-01,241.24,500000,50.0,120㎡ 초과
서울특별시 강남구 청담동,삼환(101동),2024-09-01,114.97,230000,23.0,85-120㎡
서울특별시 강남구 일원동,디에이치자이개포,2024-09-01,84.73,325000,32.5,60-85㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,40.9659,102612,10.2612,40-60㎡
서울특별시 강남구 대치동,선경2차(8동-12동),2024-09-01,127.75,435000,43.5,120㎡ 초과
서울특별시 강남구 대치동,대치현대,2024-09-01,59.82,185000,18.5,40-60㎡
서울특별시 강남구 대치동,대치현대,2024-09-01,59.82,185000,18.5,40-60㎡
서울특별시 강남구 역삼동,금호어울림,2024-09-01,84.95,168000,16.8,60-85㎡
서울특별시 강남구 삼성동,서광아파트,2024-09-01,59.67,176000,17.6,40-60㎡
서울특별시 강남구 삼성동,서광아파트,2024-09-01,59.67,176000,17.6,40-60㎡
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,2024-09-01,84.236,285000,28.5,60-85㎡
서울특별시 강남구 수서동,신동아,2024-09-01,33.18,90000,9.0,40㎡ 이하
서울특별시 강남구 도곡동,도곡렉슬,2024-09-01,120.8233,358000,35.8,120㎡ 초과
서울특별시 강남구 도곡동,삼성,2024-09-01,80.75,210000,21.0,60-85㎡
서울특별시 강남구 대치동,은마,2024-09-01,84.43,271500,27.15,60-85㎡
서울특별시 강남구 청담동,청담스위트,2024-09-01,13.425,23500,2.35,40㎡ 이하
서울특별시 강남구 도곡동,타워팰리스1,2024-09-01,244.66,790000,79.0,120㎡ 초과
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,41.3882,110262,11.0262,40-60㎡
서울특별시 강남구 도곡동,래미안도곡카운티,2024-09-01,93.07,315000,31.5,85-120㎡
서울특별시 강남구 삼성동,삼성동롯데아파트,2024-09-01,59.4,185000,18.5,40-60㎡
서울특별시 강남구 논현동,논현아이파크,2024-09-01,59.75,155000,15.5,40-60㎡
서울특별시 강남구 삼성동,삼성동롯데아파트,2024-09-01,84.87,227000,22.7,60-85㎡
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",2024-09-01,128.03,330000,33.0,120㎡ 초과
서울특별시 강남구 개포동,경남1,2024-09-01,123.28,322000,32.2,120㎡ 초과
서울특별시 강남구 역삼동,강남센트럴아이파크,2024-09-01,125.413,430000,43.0,120㎡ 초과
서울특별시 강남구 자곡동,강남자곡 힐스테이트,2024-09-01,84.05,120000,12.0,60-85㎡
서울특별시 강남구 신사동,압구정대원칸타빌아파트,2024-09-01,113.31,214000,21.4,85-120㎡
서울특별시 강남구 도곡동,타워팰리스1,2024-09-01,121.42,380000,38.0,120㎡ 초과
서울특별시 강남구 대치동,삼환SOGOOD,2024-09-01,105.6,190000,19.0,85-120㎡
서울특별시 강남구 대치동,한보미도맨션2,2024-09-01,126.33,385000,38.5,120㎡ 초과
서울특별시 강남구 일원동,수서,2024-09-01,39.98,85000,8.5,40㎡ 이하
서울특별시 강남구 일원동,목련타운,2024-09-01,134.71,299000,29.9,120㎡ 초과
서울특별시 강남구 일원동,래미안 개포 루체하임,2024-09-01,121.71,365000,36.5,120㎡ 초과
서울특별시 강남구 수서동,동익,2024-09-01,84.46,157000,15.7,60-85㎡
서울특별시 강남구 대치동,대치르엘,2024-09-01,59.9972,256500,25.65,40-60㎡
서울특별시 강남구 압구정동,한양5,2024-09-01,100.5,370000,37.0,85-120㎡
서울특별시 강남구 청담동,우성아파트,2024-09-01,84.7,136500,13.65,60-85㎡
서울특별시 강남구 역삼동,e-편한세상,2024-09-01,84.991,295000,29.5,60-85㎡
서울특별시 강남구 역삼동,대우디오빌플러스,2024-09-01,34.41,29500,2.95,40㎡ 이하
서울특별시 강남구 자곡동,강남자곡 힐스테이트,2024-09-01,59.93,105000,10.5,40-60㎡
서울특별시 강남구 자곡동,강남자곡아이파크,2024-09-01,59.96,135000,13.5,40-60㎡
서울특별시 강남구 자곡동,래미안강남힐즈,2024-09-01,101.95,213000,21.3,85-120㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-09-01,119.8906,355000,35.5,85-120㎡
서울특별시 강남구 개포동,개포주공7단지,2024-09-01,83.7,284000,28.4,60-85㎡
서울특별시 강남구 대치동,은마,2024-09-01,76.79,245000,24.5,60-85㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,41.3882,108018,10.8018,40-60㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,35.1099,91086,9.1086,40㎡ 이하
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,59.4152,167790,16.779,40-60㎡
서울특별시 강남구 청담동,청담건영,2024-09-01,84.595,320000,32.0,60-85㎡
서울특별시 강남구 압구정동,미성2차,2024-09-01,140.9,450000,45.0,120㎡ 초과
서울특별시 강남구 압구정동,"현대6차(78~81,83,84,86,87동)",2024-09-01,157.36,668000,66.8,120㎡ 초과
서울특별시 강남구 압구정동,"현대14차(203,204,205,206동)",2024-09-01,84.98,470000,47.0,60-85㎡
서울특별시 강남구 삼성동,포스코트,2024-09-01,160.53,291827,29.1827,120㎡ 초과
서울특별시 강남구 대치동,래미안대치팰리스,2024-09-01,84.99,351000,35.1,60-85㎡
서울특별시 강남구 압구정동,한양1차(영동한양),2024-09-01,49.98,257000,25.7,40-60㎡
서울특별시 강남구 대치동,래미안대치팰리스,2024-09-01,84.97,365000,36.5,60-85㎡
서울특별시 강남구 도곡동,삼성래미안,2024-09-01,84.89,270000,27.0,60-85㎡
서울특별시 강남구 도곡동,대림,2024-09-01,84.95,182000,18.2,60-85㎡
서울특별시 강남구 도곡동,대우디오빌,2024-09-01,25.89,25800,2.58,40㎡ 이하
서울특별시 강남구 역삼동,테헤란아이파크,2024-09-01,92.6232,280000,28.0,85-120㎡
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",2024-09-01,83.56,268000,26.8,60-85㎡
서울특별시 강남구 일원동,래미안 개포 루체하임,2024-09-01,59.97,233000,23.3,40-60㎡
서울특별시 강남구 도곡동,타워팰리스1,2024-09-01,244.66,700000,70.0,120㎡ 초과
서울특별시 강남구 자곡동,(토지임대부아파트)강남브리즈힐,2024-09-01,74.44,100000,10.0,60-85㎡
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",2024-09-01,83.56,268600,26.86,60-85㎡
서울특별시 강남구 압구정동,현대8차(성수현대:91~95동),2024-09-01,163.67,610000,61.0,120㎡ 초과
서울특별시 강남구 청담동,상지리츠빌4B,2024-09-01,172.98,352000,35.2,120㎡ 초과
서울특별시 강남구 대치동,선경1차(1동-7동),2024-09-01,136.68,450000,45.0,120㎡ 초과
서울특별시 강남구 역삼동,대우디오빌,2024-09-01,36.96,45000,4.5,40㎡ 이하
서울특별시 강남구 역삼동,한스빌(836),2024-09-01,39.89,42000,4.2,40㎡ 이하
서울특별시 강남구 역삼동,역삼푸르지오,2024-09-01,84.9097,276000,27.6,60-85㎡
서울특별시 강남구 대치동,테헤란로대우아이빌(891-6),2024-09-01,33.11,38500,3.85,40㎡ 이하
서울특별시 강남구 압구정동,미성1차,2024-09-01,105.62,380000,38.0,85-120㎡
서울특별시 강남구 도곡동,아카데미스위트1,2024-09-01,83.0,189500,18.95,60-85㎡
서울특별시 강남구 청담동,청담현대3차아파트,2024-09-01,109.53,370000,37.0,85-120㎡
서울특별시 강남구 개포동,개포주공5단지,2024-09-01,53.98,228500,22.85,40-60㎡
서울특별시 강남구 역삼동,역삼래미안,2024-09-01,59.73,220000,22.0,40-60㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-09-01,59.9957,171666,17.1666,40-60㎡
서울특별시 강남구 대치동,한보미도맨션2,2024-09-01,84.96,310000,31.0,60-85㎡
서울특별시 강남구 대치동,은마,2024-09-01,76.79,253000,25.3,60-85㎡
서울특별시 강남구 대치동,은마,2024-09-01,76.79,255000,25.5,60-85㎡
서울특별시 강남구 자곡동,강남자곡아이파크,2024-09-01,74.97,150000,15.0,60-85㎡
서울특별시 강남구 도곡동,대우디오빌,2024-09-01,25.89,26500,2.65,40㎡ 이하
서울특별시 강남구 도곡동,아카데미스위트1,2024-09-01,128.74,239000,23.9,120㎡ 초과
서울특별시 강남구 논현동,아크로힐스논현,2024-09-01,113.087,280000,28.0,85-120㎡
서울특별시 강남구 삼성동,레미안삼성1차(101동),2024-09-01,84.98,225000,22.5,60-85㎡
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,2024-09-01,84.236,285000,28.5,60-85㎡
서울특별시 강남구 압구정동,미성1차,2024-09-01,105.65,375000,37.5,85-120㎡
서울특별시 강남구 자곡동,래미안포레,2024-09-01,101.51,175000,17.5,85-120㎡
서울특별시 강남구 대치동,래미안대치팰리스,2024-09-01,94.49,410000,41.0,85-120㎡
서울특별시 강남구 개포동,개포래미안포레스트,2024-09-01,84.86,290000,29.0,60-85㎡
서울특별시 강남구 대치동,대우아이빌명문가(891-23),2024-09-01,33.06,29000,2.9,40㎡ 이하
서울특별시 강남구 논현동,마일스디오빌,2024-09-01,36.29,37500,3.75,40㎡ 이하
서울특별시 강남구 논현동,신동아(22),2024-09-01,35.73,89999,8.9999,40㎡ 이하
서울특별시 강남구 도곡동,우성4,2024-09-01,152.74,335000,33.5,120㎡ 초과
서울특별시 강남구 도곡동,대우디오빌,2024-09-01,31.81,30500,3.05,40㎡ 이하
서울특별시 강남구 도곡동,우성4,2024-09-01,152.74,335000,33.5,120㎡ 초과
서울특별시 강남구 논현동,동현아파트1~6,2024-09-01,150.04,310000,31.0,120㎡ 초과
서울특별시 강남구 역삼동,경남아너스빌,2024-09-01,81.013,151000,15.1,60-85㎡
서울특별시 강남구 삼성동,래미안삼성2차,2024-09-01,164.72,390000,39.0,120㎡ 초과
서울특별시 강남구 삼성동,한일,2024-09-01,55.34,150000,15.0,40-60㎡
서울특별시 강남구 역삼동,래미안그레이튼(진달래2차),2024-09-01,120.37,320000,32.0,120㎡ 초과
서울특별시 강남구 대치동,래미안대치팰리스,2024-09-01,94.49,405000,40.5,85-120㎡
서울특별시 강남구 개포동,개포우성3차,2024-09-01,104.43,251700,25.17,85-120㎡
서울특별시 강남구 개포동,현대2,2024-08-01,84.81,248000,24.8,60-85㎡
서울특별시 강남구 압구정동,신현대12차,2024-08-01,170.38,670000,67.0,120㎡ 초과
서울특별시 강남구 압구정동,현대8차(성수현대:91~95동),2024-08-01,163.67,600000,60.0,120㎡ 초과
서울특별시 강남구 압구정동,"현대2차(10,11,20,23,24,25동)",2024-08-01,160.28,718000,71.8,120㎡ 초과
서울특별시 강남구 삼성동,풍림(1차),2024-08-01,59.7,170000,17.0,40-60㎡
서울특별시 강남구 개포동,개포주공6단지,2024-08-01,73.02,268000,26.8,60-85㎡
서울특별시 강남구 개포동,경남1,2024-08-01,84.6,260000,26.0,60-85㎡
서울특별시 강남구 개포동,경남2차,2024-08-01,182.2,359000,35.9,120㎡ 초과
서울특별시 강남구 개포동,성원대치2단지아파트,2024-08-01,33.18,105000,10.5,40㎡ 이하
서울특별시 강남구 논현동,동부센트레빌,2024-08-01,84.9875,179000,17.9,60-85㎡
서울특별시 강남구 논현동,동현아파트1~6,2024-08-01,84.92,219000,21.9,60-85㎡
서울특별시 강남구 도곡동,경남,2024-08-01,59.76,160000,16.0,40-60㎡
서울특별시 강남구 역삼동,개나리래미안,2024-08-01,129.8,327000,32.7,120㎡ 초과
서울특별시 강남구 역삼동,테헤란아이파크,2024-08-01,70.8333,250000,25.0,60-85㎡
서울특별시 강남구 역삼동,개나리래미안,2024-08-01,129.96,330000,33.0,120㎡ 초과
서울특별시 강남구 개포동,래미안블레스티지,2024-08-01,59.888,234000,23.4,40-60㎡
서울특별시 강남구 대치동,포스코더샵,2024-08-01,139.54,320000,32.0,120㎡ 초과
서울특별시 강남구 일원동,래미안 개포 루체하임,2024-08-01,59.98,245000,24.5,40-60㎡
서울특별시 강남구 대치동,쌍용대치2,2024-08-01,120.76,323000,32.3,120㎡ 초과
서울특별시 강남구 대치동,대치동우정에쉐르2(890-42),2024-08-01,68.59,87500,8.75,60-85㎡
서울특별시 강남구 역삼동,브라운스톤역삼,2024-08-01,59.96,102500,10.25,40-60㎡
서울특별시 강남구 청담동,청담어퍼하우스,2024-08-01,197.73,740000,74.0,120㎡ 초과
서울특별시 강남구 개포동,현대2,2024-08-01,165.08,380000,38.0,120㎡ 초과
서울특별시 강남구 개포동,개포래미안포레스트,2024-08-01,49.92,197000,19.7,40-60㎡
서울특별시 강남구 개포동,개포주공5단지,2024-08-01,74.25,270000,27.0,60-85㎡
서울특별시 강남구 개포동,래미안블레스티지,2024-08-01,99.919,317000,31.7,85-120㎡
서울특별시 강남구 도곡동,삼성래미안,2024-08-01,122.81,320000,32.0,120㎡ 초과
서울특별시 강남구 도곡동,우성캐릭터199,2024-08-01,164.97,246000,24.6,120㎡ 초과
서울특별시 강남구 신사동,현대아인빌,2024-08-01,138.42,199000,19.9,120㎡ 초과
서울특별시 강남구 논현동,신동아(22),2024-08-01,84.52,168000,16.8,60-85㎡
서울특별시 강남구 삼성동,래미안라클래시,2024-08-01,101.98,420000,42.0,85-120㎡
서울특별시 강남구 압구정동,"현대6차(78~81,83,84,86,87동)",2024-08-01,144.7,595000,59.5,120㎡ 초과
서울특별시 강남구 압구정동,현대8차(성수현대:91~95동),2024-08-01,163.67,609000,60.9,120㎡ 초과
서울특별시 강남구 자곡동,래미안강남힐즈,2024-08-01,101.95,207500,20.75,85-120㎡
서울특별시 강남구 자곡동,강남자곡아이파크,2024-08-01,74.97,149000,14.9,60-85㎡
서울특별시 강남구 청담동,삼성청담아파트,2024-08-01,114.83,243000,24.3,85-120㎡
서울특별시 강남구 압구정동,미성2차,2024-08-01,74.4,300000,30.0,60-85㎡
서울특별시 강남구 압구정동,"현대2차(10,11,20,23,24,25동)",2024-08-01,196.84,830000,83.0,120㎡ 초과
서울특별시 강남구 압구정동,미성2차,2024-08-01,118.63,420000,42.0,85-120㎡
서울특별시 강남구 압구정동,미성2차,2024-08-01,74.4,298000,29.8,60-85㎡
서울특별시 강남구 논현동,두산위브2단지,2024-08-01,106.829,128000,12.8,85-120㎡
서울특별시 강남구 역삼동,세방하이빌1,2024-08-01,59.77,120000,12.0,40-60㎡
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",2024-08-01,148.8,350000,35.0,120㎡ 초과
서울특별시 강남구 논현동,한양수자인어반게이트,2024-08-01,16.2,20800,2.08,40㎡ 이하
서울특별시 강남구 도곡동,도곡우성아파트,2024-08-01,84.83,204000,20.4,60-85㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-08-01,59.9818,190000,19.0,40-60㎡
서울특별시 강남구 도곡동,현대그린1,2024-08-01,84.93,161500,16.15,60-85㎡
서울특별시 강남구 도곡동,현대아파트1동~3동,2024-08-01,84.96,170000,17.0,60-85㎡
서울특별시 강남구 일원동,수서,2024-08-01,39.98,85000,8.5,40㎡ 이하
서울특별시 강남구 삼성동,석탑아파트101동,2024-08-01,59.82,155000,15.5,40-60㎡
서울특별시 강남구 삼성동,아이파크,2024-08-01,195.388,779000,77.9,120㎡ 초과
서울특별시 강남구 삼성동,현대힐스테이트2단지,2024-08-01,84.236,278000,27.8,60-85㎡
서울특별시 강남구 압구정동,미성2차,2024-08-01,140.9,450000,45.0,120㎡ 초과
서울특별시 강남구 자곡동,강남자곡 힐스테이트,2024-08-01,59.93,98000,9.8,40-60㎡
서울특별시 강남구 개포동,성원대치2단지아파트,2024-08-01,39.53,122500,12.25,40㎡ 이하
서울특별시 강남구 도곡동,삼성래미안,2024-08-01,122.81,290000,29.0,120㎡ 초과
서울특별시 강남구 도곡동,타워팰리스1,2024-08-01,164.97,425000,42.5,120㎡ 초과
서울특별시 강남구 도곡동,도곡렉슬,2024-08-01,134.9023,414000,41.4,120㎡ 초과
서울특별시 강남구 도곡동,필로스(193-45),2024-08-01,128.33,147000,14.7,120㎡ 초과
서울특별시 강남구 일원동,수서,2024-08-01,59.94,128000,12.8,40-60㎡
서울특별시 강남구 대치동,대치현대,2024-08-01,85.0,228000,22.8,60-85㎡
서울특별시 강남구 개포동,현대2,2024-08-01,165.08,380000,38.0,120㎡ 초과
서울특별시 강남구 역삼동,강남역우정에쉐르,2024-08-01,16.78,21700,2.17,40㎡ 이하
서울특별시 강남구 수서동,까치마을,2024-08-01,34.44,55000,5.5,40㎡ 이하
서울특별시 강남구 압구정동,한양4,2024-08-01,101.09,380000,38.0,85-120㎡
서울특별시 강남구 압구정동,한양4,2024-08-01,101.09,380000,38.0,85-120㎡
서울특별시 강남구 삼성동,푸른솔아파트1동,2024-08-01,59.4,145000,14.5,40-60㎡
서울특별시 강남구 대치동,대우아이빌멤버스(891-26),2024-08-01,25.513,22000,2.2,40㎡ 이하
서울특별시 강남구 대치동,대치삼성,2024-08-01,97.35,299500,29.95,85-120㎡
서울특별시 강남구 대치동,은마,2024-08-01,76.79,240000,24.0,60-85㎡
서울특별시 강남구 대치동,한보미도맨션1,2024-08-01,84.48,320000,32.0,60-85㎡
서울특별시 강남구 삼성동,풍림(1차),2024-08-01,59.7,170000,17.0,40-60㎡
서울특별시 강남구 역삼동,동부센트레빌,2024-08-01,59.82,179000,17.9,40-60㎡
서울특별시 강남구 압구정동,한양1차(영동한양),2024-08-01,63.87,340000,34.0,60-85㎡
서울특별시 강남구 압구정동,현대4차저층(51~56동),2024-08-01,117.9,610000,61.0,85-120㎡
서울특별시 강남구 압구정동,"현대14차(203,204,205,206동)",2024-08-01,84.56,440000,44.0,60-85㎡
서울특별시 강남구 압구정동,한양5,2024-08-01,102.35,350000,35.0,85-120㎡
서울특별시 강남구 일원동,수서,2024-08-01,59.94,123500,12.35,40-60㎡
서울특별시 강남구 역삼동,테헤란아이파크,2024-08-01,92.6232,280000,28.0,85-120㎡
서울특별시 강남구 청담동,현대아파트,2024-08-01,84.78,177500,17.75,60-85㎡
서울특별시 강남구 개포동,디에이치아너힐즈,2024-08-01,84.357,330000,33.0,60-85㎡
서울특별시 강남구 역삼동,역삼I'PARK,2024-08-01,28.246,83500,8.35,40㎡ 이하
서울특별시 강남구 도곡동,현대아파트1동~3동,2024-08-01,84.96,160000,16.0,60-85㎡
서울특별시 강남구 압구정동,한양4,2024-08-01,101.09,380000,38.0,85-120㎡
서울특별시 강남구 역삼동,역삼푸르지오,2024-08-01,84.9097,272000,27.2,60-85㎡
서울특별시 강남구 개포동,개포주공5단지,2024-08-01,53.98,230000,23.0,40-60㎡
서울특별시 강남구 일원동,래미안 개포 루체하임,2024-08-01,101.99,296000,29.6,85-120㎡
서울특별시 강남구 압구정동,한양4,2024-08-01,101.09,385000,38.5,85-120㎡
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,2024-08-01,84.503,282000,28.2,60-85㎡
서울특별시 강남구 수서동,수서한아름,2024-08-01,129.45,211000,21.1,120㎡ 초과
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",2024-08-01,148.8,380000,38.0,120㎡ 초과
서울특별시 강남구 대치동,동부센트레빌,2024-08-01,145.83,474000,47.4,120㎡ 초과
서울특별시 강남구 대치동,래미안대치팰리스,2024-08-01,114.14,507000,50.7,85-120㎡
서울특별시 강남구 대치동,선경1차(1동-7동),2024-08-01,163.92,465000,46.5,120㎡ 초과
서울특별시 강남구 개포동,래미안블레스티지,2024-08-01,59.967,230000,23.0,40-60㎡
서울특별시 강남구 청담동,현대아파트(75-1),2024-08-01,159.08,341000,34.1,120㎡ 초과
서울특별시 강남구 도곡동,삼성래미안,2024-08-01,59.96,213000,21.3,40-60㎡
서울특별시 강남구 도곡동,경남,2024-08-01,84.94,208000,20.8,60-85㎡
서울특별시 강남구 도곡동,매봉삼성,2024-08-01,84.95,165000,16.5,60-85㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-08-01,84.9984,325000,32.5,60-85㎡
서울특별시 강남구 삼성동,LG선릉에클라트(A),2024-08-01,36.16,33000,3.3,40㎡ 이하
